"unitid","institution name","year","F0809_F2_RV.Private gifts - Total","DRVF2009_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2009_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"165264","Laboure College","2009",,"103","3504"
"165334","Clark University","2009",,"913","61276"
"165495","Conway School of Landscape Design","2009",,"74",
"165529","Curry College","2009",,"103","13171"
"165574","Dean College","2009","1598062","119","20325"
"165644","Eastern Nazarene College","2009","3541601","89","12168"
"165662","Emerson College","2009",,"108","12582"
"165671","Emmanuel College","2009","5607430","125","29029"
"165699","Endicott College","2009",,"104","7060"
"165705","Episcopal Divinity School","2009",,"6","617637"
"165802","Fisher College","2009",,"105",
"165884","Benjamin Franklin Institute of Technology","2009",,"69","5758"
"165936","Gordon College","2009","6598292","99","12219"
"165945","Gordon-Conwell Theological Seminary","2009",,"123","26481"
"166018","Hampshire College","2009",,"107","23272"
"166027","Harvard University","2009","504341000",,"1038839"
"166045","Hebrew College","2009",,"56","42190"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2009",,"17","129544"
"166124","College of the Holy Cross","2009",,,"161112"
"166391","Lasell College","2009",,"97","15006"
"166452","Lesley University","2009",,"228","29728"
"166601","Marian Court College","2009",,"97","2594"
"166656","MCPHS University","2009","2142830","117","35057"
"166683","Massachusetts Institute of Technology","2009","303890000","55","784628"
"166717","Massachusetts School of Professional Psychology","2009","264674","101","3203"
"166850","Merrimack College","2009","1989910","105","13014"
